GEOID,year,state,county,crime,value
01015,2014,Alabama,Calhoun,Arson,0
01015,2014,Alabama,Calhoun,Other Assault,236.83
01015,2014,Alabama,Calhoun,Forgery,13.3
01015,2014,Alabama,Calhoun,Fraud,43.21
01015,2014,Alabama,Calhoun,Embezzlement,4.15
01015,2014,Alabama,Calhoun,Stolen Prop,20.77
01015,2014,Alabama,Calhoun,Vandalism,15.79
01015,2014,Alabama,Calhoun,Weapon Violation,11.63
01015,2014,Alabama,Calhoun,Prostitution,0
01015,2014,Alabama,Calhoun,Sex Offense,2.49
01015,2014,Alabama,Calhoun,Drug Related,63.99
01015,2014,Alabama,Calhoun,Gambling,0
01015,2014,Alabama,Calhoun,Family Child,1.66
01015,2014,Alabama,Calhoun,DUI,153.73
01015,2014,Alabama,Calhoun,Liquor Violation,115.51
01015,2014,Alabama,Calhoun,Drunkenness,105.54
01015,2014,Alabama,Calhoun,Disorderly,19.94
01015,2014,Alabama,Calhoun,Vagrancy,3.32
01015,2014,Alabama,Calhoun,Other,785.29
01015,2014,Alabama,Calhoun,Suspicion,0
01015,2014,Alabama,Calhoun,Curfew,0
01015,2014,Alabama,Calhoun,Runaway,0
01017,2014,Alabama,Chambers,All Crime,3772.48
01017,2014,Alabama,Chambers,Violent Crime,111.13
01017,2014,Alabama,Chambers,Property Crime,476.68
01017,2014,Alabama,Chambers,Murder,8.77
01017,2014,Alabama,Chambers,Rape,8.77
01017,2014,Alabama,Chambers,Robbery,26.32
01017,2014,Alabama,Chambers,Assault,67.26
01017,2014,Alabama,Chambers,Burglary,70.19
01017,2014,Alabama,Chambers,Larceny,403.57
01017,2014,Alabama,Chambers,Auto Theft,2.92
01017,2014,Alabama,Chambers,Arson,0
01017,2014,Alabama,Chambers,Other Assault,432.81
01017,2014,Alabama,Chambers,Forgery,29.24
01017,2014,Alabama,Chambers,Fraud,90.66
01017,2014,Alabama,Chambers,Embezzlement,5.85
01017,2014,Alabama,Chambers,Stolen Prop,67.26
01017,2014,Alabama,Chambers,Vandalism,23.4
01017,2014,Alabama,Chambers,Weapon Violation,43.87
01017,2014,Alabama,Chambers,Prostitution,0
01017,2014,Alabama,Chambers,Sex Offense,8.77
01017,2014,Alabama,Chambers,Drug Related,81.88
01017,2014,Alabama,Chambers,Gambling,0
01017,2014,Alabama,Chambers,Family Child,23.4
01017,2014,Alabama,Chambers,DUI,301.21
01017,2014,Alabama,Chambers,Liquor Violation,35.09
01017,2014,Alabama,Chambers,Drunkenness,193.01
01017,2014,Alabama,Chambers,Disorderly,46.79
01017,2014,Alabama,Chambers,Vagrancy,2.92
01017,2014,Alabama,Chambers,Other,1798.51
01017,2014,Alabama,Chambers,Suspicion,0
01017,2014,Alabama,Chambers,Curfew,0
01017,2014,Alabama,Chambers,Runaway,0
01019,2014,Alabama,Cherokee,All Crime,1854.74
01019,2014,Alabama,Cherokee,Violent Crime,22.85
01019,2014,Alabama,Cherokee,Property Crime,449.4
01019,2014,Alabama,Cherokee,Murder,7.62
01019,2014,Alabama,Cherokee,Rape,0
01019,2014,Alabama,Cherokee,Robbery,0
01019,2014,Alabama,Cherokee,Assault,11.43
01019,2014,Alabama,Cherokee,Burglary,26.66
01019,2014,Alabama,Cherokee,Larceny,403.7
01019,2014,Alabama,Cherokee,Auto Theft,15.23
01019,2014,Alabama,Cherokee,Arson,0
01019,2014,Alabama,Cherokee,Other Assault,182.81
01019,2014,Alabama,Cherokee,Forgery,38.09
01019,2014,Alabama,Cherokee,Fraud,137.11
01019,2014,Alabama,Cherokee,Embezzlement,15.23
01019,2014,Alabama,Cherokee,Stolen Prop,57.13
01019,2014,Alabama,Cherokee,Vandalism,0
01019,2014,Alabama,Cherokee,Weapon Violation,0
01019,2014,Alabama,Cherokee,Prostitution,0
01019,2014,Alabama,Cherokee,Sex Offense,30.47
01019,2014,Alabama,Cherokee,Drug Related,0
01019,2014,Alabama,Cherokee,Gambling,0
01019,2014,Alabama,Cherokee,Family Child,7.62
01019,2014,Alabama,Cherokee,DUI,95.21
01019,2014,Alabama,Cherokee,Liquor Violation,30.47
01019,2014,Alabama,Cherokee,Drunkenness,53.32
01019,2014,Alabama,Cherokee,Disorderly,19.04
01019,2014,Alabama,Cherokee,Vagrancy,0
01019,2014,Alabama,Cherokee,Other,716
01019,2014,Alabama,Cherokee,Suspicion,0
01019,2014,Alabama,Cherokee,Curfew,0
01019,2014,Alabama,Cherokee,Runaway,0
01021,2014,Alabama,Chilton,All Crime,1251.88
01021,2014,Alabama,Chilton,Violent Crime,18.21
01021,2014,Alabama,Chilton,Property Crime,170.71
01021,2014,Alabama,Chilton,Murder,0
01021,2014,Alabama,Chilton,Rape,2.28
01021,2014,Alabama,Chilton,Robbery,4.55
01021,2014,Alabama,Chilton,Assault,9.1
01021,2014,Alabama,Chilton,Burglary,9.1
01021,2014,Alabama,Chilton,Larceny,154.78
01021,2014,Alabama,Chilton,Auto Theft,9.1
01021,2014,Alabama,Chilton,Arson,0
01021,2014,Alabama,Chilton,Other Assault,145.67
01021,2014,Alabama,Chilton,Forgery,2.28
01021,2014,Alabama,Chilton,Fraud,13.66
01021,2014,Alabama,Chilton,Embezzlement,2.28
01021,2014,Alabama,Chilton,Stolen Prop,11.38
01021,2014,Alabama,Chilton,Vandalism,2.28
01021,2014,Alabama,Chilton,Weapon Violation,6.83
01021,2014,Alabama,Chilton,Prostitution,0
01021,2014,Alabama,Chilton,Sex Offense,0
01021,2014,Alabama,Chilton,Drug Related,34.14
01021,2014,Alabama,Chilton,Gambling,0
01021,2014,Alabama,Chilton,Family Child,4.55
01021,2014,Alabama,Chilton,DUI,109.25
01021,2014,Alabama,Chilton,Liquor Violation,34.14
01021,2014,Alabama,Chilton,Drunkenness,97.87
01021,2014,Alabama,Chilton,Disorderly,20.49
01021,2014,Alabama,Chilton,Vagrancy,2.28
01021,2014,Alabama,Chilton,Other,575.86
01021,2014,Alabama,Chilton,Suspicion,0
01021,2014,Alabama,Chilton,Curfew,0
01021,2014,Alabama,Chilton,Runaway,0
01023,2014,Alabama,Choctaw,All Crime,1395.24
01023,2014,Alabama,Choctaw,Violent Crime,90.02
01023,2014,Alabama,Choctaw,Property Crime,165.03
01023,2014,Alabama,Choctaw,Murder,0
01023,2014,Alabama,Choctaw,Rape,0
01023,2014,Alabama,Choctaw,Robbery,0
01023,2014,Alabama,Choctaw,Assault,90.02
